cell,gene_symbol
SMBDL,tyra-3
SMBDR,octr-1
SMBDR,ser-2
SMBDR,ser-5
SMBDR,tyra-3
SMBVL,octr-1
SMBVL,ser-2
SMBVL,ser-5
SMBVL,tyra-3
SMBVR,octr-1
SMBVR,ser-2
SMBVR,ser-5
SMBVR,tyra-3
SMDDL,dop-1
SMDDL,ser-4
SMDDL,ser-5
SMDDL,tyra-3
SMDDR,dop-1
SMDDR,ser-4
SMDDR,ser-5
SMDDR,tyra-3
SMDVL,dop-1
SMDVL,ser-4
SMDVL,ser-5
SMDVL,tyra-3
SMDVR,dop-1
SMDVR,ser-4
SMDVR,ser-5
SMDVR,tyra-3
URADL,ser-1
URADL,ser-3
URADL,ser-5
URADR,ser-1
URADR,ser-3
URADR,ser-5
URAVL,ser-1
URAVL,ser-3
URAVL,ser-5
URAVR,ser-1
URAVR,ser-3
URAVR,ser-5
URBL,dop-2
URBL,octr-1
URBL,ser-1
URBL,ser-2
URBL,ser-4
URBL,tyra-2
URBR,dop-2
URBR,octr-1
URBR,ser-1
URBR,ser-2
URBR,ser-4
URBR,tyra-2
URXL,ser-3
URXL,ser-4
URXL,ser-5
URXR,ser-3
URXR,ser-4
URXR,ser-5
URYDL,ser-2
URYDL,tyra-3
URYDR,ser-2
URYDR,tyra-3
URYVL,ser-2
URYVL,tyra-3
URYVR,ser-2
URYVR,tyra-3
VA1,dop-1
VA1,dop-3
VA1,octr-1
VA10,dop-1
VA10,dop-3
VA10,octr-1
VA11,dop-1
VA11,dop-3
VA11,octr-1
VA12,dop-1
VA12,dop-2
VA12,dop-3
VA12,ser-6
VA2,dop-1
VA2,dop-3
VA2,octr-1
VA3,dop-1
VA3,dop-3
VA3,octr-1
VA4,dop-1
VA4,dop-3
VA4,octr-1
VA5,dop-1
VA5,dop-3
VA5,octr-1
VA6,dop-1
VA6,dop-3
VA6,octr-1
VA7,dop-1
VA7,dop-3
VA7,octr-1
VA8,dop-1
VA8,dop-3
VA8,octr-1
VA9,dop-1
VA9,dop-3
VA9,octr-1
VB1,dop-1
VB1,dop-2
VB1,dop-3
VB1,ser-2
VB1,ser-4
VB10,dop-1
VB10,dop-2
VB10,dop-3
VB11,dop-1
VB11,dop-2
VB11,dop-3
VB2,dop-1
VB2,dop-2
VB2,dop-3
VB3,dop-1
VB3,dop-2
VB3,dop-3
VB4,dop-1
VB4,dop-2
VB4,dop-3
VB5,dop-1
VB5,dop-2
VB5,dop-3
VB6,dop-1
VB6,dop-2
VB6,dop-3
VB7,dop-1
VB7,dop-2
VB7,dop-3
VB8,dop-1
VB8,dop-2
VB8,dop-3
VB9,dop-1
VB9,dop-2
VB9,dop-3
VC4,ser-7
VC4,tyra-3
VC5,ser-7
VC5,tyra-3
VD1,dop-3
VD10,dop-3
VD11,dop-3
VD12,dop-3
VD13,dop-3
VD2,dop-3
VD3,dop-3
VD4,dop-3
VD5,dop-3
VD6,dop-3
VD7,dop-3
VD8,dop-3
VD9,dop-3
